ID                                NAME                          API URL                                                     OPENSHIFT_VERSION   PRODUCT ID      CLOUD_PROVIDER  REGION ID       STATE        
17ccnfgpfasu8e731vlps34qtg9a5hv2  c9f7b02f-c28d-45f3-9892-5867  NONE                                                        NONE                ocp             NONE            NONE            ready        
188uv2hjmql5i5eirkf8thiau1pvr1t5  519a1cee-0023-1118-bce7-e153  NONE                                                        NONE                ocp             NONE            NONE            ready        
19dc5cd43lpc4i9ekje0cr8f0slicchl  63ae9d4d-6bfc-448e-9334-25e8  NONE                                                        NONE                ocp             NONE            NONE            ready        
19dt3gpogcl64semhfifea7skitrh389  11c0d46e-1701-4714-8110-6a43  NONE                                                        NONE                ocp             NONE            NONE            ready        
1b2pvadihiv4mfbi59en0srlttckmmbv  99316d68-e458-442f-857f-30c6  NONE                                                        NONE                ocp             NONE            NONE            ready        
1bcqs68i3tdds0a421dta6r8kit3dapp  f65037f3-4ff2-438d-82fd-02fc  NONE                                                        NONE                ocp             NONE            NONE            ready        
1bi64i5re9vmh5v0e55tb8ngi2874tlm  d27d8a81-8025-465c-9145-d248  NONE                                                        NONE                ocp             NONE            NONE            ready        
1bi64kos0qdkgmf9ravb5dg64e5bof3m  d27d8a81-8025-465c-9145-d248  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbsjirr1mop7fvpc4dfe2uu8rp9sof  dfbab8c6-3d02-4cac-b9e3-de4a  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbsk0ja1gm1mkj2vffsgosut2n1c4e  8d49012a-3bb5-4472-bef5-d51a  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbsk29ra908tho51beqprau8rjpd0c  81592b81-8403-4da0-a7bb-f96a  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbsk3066ldn5k9erbhd48k859cuge4  2c1e05c0-a0b9-492e-adc7-eee0  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbskbri0o2e45mbar66c40ehqt2ju4  09737f97-50aa-4d96-91ef-8e00  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbtpv7c4um3vfpr8rqe56trruc7qac  24ab3359-b785-4842-ac18-eeb9  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbtrdgbrskgdqq4k3qltqlderoilgj  38854a06-5511-49c7-b9cd-eb74  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbtrnrfqsgu9d8ksn5ds5avqodnk4o  3562cc31-c4ec-4bff-946a-9dc5  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbtsdp1stuhrcn2m0s83ibl3hb2ull  a6c2ca74-cf47-4b04-b599-57a8  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbttpu071a4r2m3cqnl1ct0vffr7eu  0dbe9611-e6b4-474b-bff6-90f5  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbtur2it01g7v7pt577qcegkro07hd  1a86e120-70a1-486e-a48a-445c  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbtvm092n4inook7svf1dt0g4mj5pp  48b61da4-bcb8-449f-b611-124c  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu43mlq2nrbr6vess6bek0h7iv7m8  67f58056-d14f-44ff-afa4-46b8  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu5btgb1ssh7gof83embre206k34u  7d04a9ef-e9d0-4d55-bb94-4b68  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu5rjgpjdtc7es9sg35cj99f216d3  f2129fbe-4f98-4254-ae71-8fff  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6hherhj2nn7h3e48o0pn9ehl50j  e22c26ae-c25b-41fd-af77-163f  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6hjusgr2k4p5jtn2c1s1g5fjf5b  24381f40-6aa0-46ec-ab85-ff5b  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6ikidrfm8ruc3r51c20harehctj  3b13a37c-cfc2-4043-a70f-a2a5  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6k3licmpqir3m3shhara095d2g2  468ca56f-9e51-4678-a528-dd69  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6m0ui211c3536agj3u6fj1vj63r  f1583de3-213d-4c54-b3f7-73dd  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6m568v7qajapbvmqcb5cpdro32u  2c10f18f-6382-4d60-a497-37df  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6n4kbq62o45kjk22eeqenfltgbe  7368f62e-252e-4ffb-af75-4721  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6q74gcikk13gf40rq4a5akv32e2  6dfb7345-b30c-4697-b47e-76ea  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6rsjlbt6547uk3dafa66roffe8p  96769537-5f54-4936-b82e-1248  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6t24rnsf0oa809o89m2ujh0nm0c  a5cac157-80eb-4280-9e0f-572f  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6tuj3g5qufrhqk0esnu8hsblof2  50f7fc62-388c-44c0-835f-4f89  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu6u5nr7eb930n0b7l2h553ojgobe  23b94487-f4a0-4e6f-a086-992c  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu72q3v9qn74v5kn95rp5arufjtta  60ba721b-acd8-4038-8d2a-fb4f  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu72tkhggrfc9ctjr953i385737f2  094f954f-5598-4394-9b99-14f6  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu746d2g68j8oa9honm7rnjq8mu8n  e74e38d7-939c-4b73-816e-b77c  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu7553ngu01vk1dumpn10jbaohl6p  7b4dc2d4-f0a9-4d7f-b2e6-d64d  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu7mgkg5iks45mdjhhhfskmk6lcop  a0c15c0d-57d6-413f-af41-a713  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu7od97hk6e330ps77mnhdlco7bkm  c4be5f70-d0d1-4b84-adc8-6a34  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu8132p8mller8brik3c30pqtbkk4  52c53d2e-a748-4b43-a16b-045a  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu85ekga6u0vu50scle36k28akmjb  80301b0a-ec69-4f18-a935-a20d  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu8cu9ctlbvue7s9q27qhv7sifcns  e5e0ce85-849a-46ad-88e9-9649  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu8dg1188k1p7ufjs4gnvcldea4dp  20b30fa6-86b6-456a-a412-0cf6  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu8fl3n23druf3pnjoefscs2dge5g  a07007f0-80df-4547-83da-c600  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu96k7uc24kpkeki8170ii7qtnnvs  659680fc-e991-459b-987c-7af0  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu98vscelm0vcvm6dp8n9p984bp2n  8e3caf69-c50a-4241-9056-9f4a  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbu9qg18suvorek2c5g2vh8n3c5h1o  f7a42921-cb7b-4185-8228-0fa3  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbubjng6cu02ojgpd1o73thm61egah  4f7b5851-0534-4ba1-a38a-9a1a  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbuf9srjgoht20qu80g5s7h2bnde1h  a6640695-9dc2-4ba6-a8fe-070f  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbufedhm47sbs5tqkb1natonlappvk  9e064683-4f08-47fe-b92f-313f  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbufnkqpn84mj7m489cd1sabmfnlb8  65dbca15-bd18-41c6-865a-7e25  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbugh2h7uuv1a5deh30r6t56s2mcm9  4026608c-1f88-446e-949f-1850  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbugk30bv3me68nm7b0rgq90n900i9  f08a063e-c153-4e65-b38c-a609  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbuh3dlemrjse3tg31butbubjo1n9m  ea357cac-b2dc-48ba-933e-78fa  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbuhf3ssa9jik4s13dpvmprsm7q0e0  593fa993-316d-4c82-b543-4595  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbulabs8md44ng7712n37v74dt61ds  fa3c5ffd-cdad-4540-8d13-96b6  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbun1n7n0j9nshcm47bke7o5o4ar7b  221dc6d1-0326-40a8-ae7e-2fdd  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbunbevpfj5jkbtrdfj1l4hgr5em11  3d5196b1-367e-4109-b523-4e35  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbundlb984rhrb7h1r8sb9v2r5o0l1  f9a2782f-4fc6-4990-b985-6c27  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbunnjf73bstlqfcnqidomd2gttthr  915f3b8c-857d-415a-adf0-b943  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbunoc2smb8cf5c1bvd8cjh7nrnl3o  cf7fe7ac-f4b8-494d-83a0-fc9a  NONE                                                        NONE                ocp             NONE            NONE            ready        
1blbunoffnjmr1157nksrr5tmj1phrm0  d0698c3d-bfdc-4cbf-83f1-de89  NONE                                                        NONE                ocp             NONE            NONE            ready        
